DIRECTORIO,P1806,mes
7858603,1000000,Julio_2024
7858605,1300000,Julio_2024
7858618,1300000,Julio_2024
7858620,1300000,Julio_2024
7858621,1300000,Julio_2024
7858621,10000000,Julio_2024
7858625,3900000,Julio_2024
7858626,1000000,Julio_2024
7858629,450000,Julio_2024
7858654,500000,Julio_2024
7858654,1300000,Julio_2024
7858683,1300000,Julio_2024
7858683,1300000,Julio_2024
7858685,500000,Julio_2024
7858772,3500000,Julio_2024
7858773,1800000,Julio_2024
7858783,1300000,Julio_2024
7858788,1500000,Julio_2024
7858788,1500000,Julio_2024
7858789,650000,Julio_2024
7858791,1800000,Julio_2024
7858794,1300000,Julio_2024
7858801,1300000,Julio_2024
7858801,1300000,Julio_2024
7858807,200000,Julio_2024
7858817,1300000,Julio_2024
7858821,1300000,Julio_2024
7858830,1300000,Julio_2024
7858858,1800000,Julio_2024
7858871,1300000,Julio_2024
7858872,700000,Julio_2024
7858872,1300000,Julio_2024
7858886,2000000,Julio_2024
7858886,3000000,Julio_2024
7858894,1300000,Julio_2024
7858894,1300000,Julio_2024
7858903,1300000,Julio_2024
7858904,3800000,Julio_2024
7858909,1300000,Julio_2024
7858921,1300000,Julio_2024
7858927,2000000,Julio_2024
7858929,600000,Julio_2024
7858952,1300000,Julio_2024
7858952,1450000,Julio_2024
7858952,1400000,Julio_2024
7858958,1300000,Julio_2024
7858970,1300000,Julio_2024
7858971,1300000,Julio_2024
7858973,1300000,Julio_2024
7858988,1462000,Julio_2024
7858989,1300000,Julio_2024
7858990,1300000,Julio_2024
7858991,1462000,Julio_2024
7859015,2000000,Julio_2024
7859017,1500000,Julio_2024
7859020,2000000,Julio_2024
7859020,1300000,Julio_2024
7859021,1300000,Julio_2024
7859025,1300000,Julio_2024
7859025,1300000,Julio_2024
7859026,1300000,Julio_2024
7859043,1300000,Julio_2024
7859044,1300000,Julio_2024
7859044,1300000,Julio_2024
7859057,2000000,Julio_2024
7859059,1300000,Julio_2024
7859064,1300000,Julio_2024
7859070,1300000,Julio_2024
7859070,1300000,Julio_2024
7859075,1300000,Julio_2024
7859088,3000000,Julio_2024
7859088,1300000,Julio_2024
7859090,1000000,Julio_2024
7859090,1000000,Julio_2024
7859091,1300000,Julio_2024
7859092,1300000,Julio_2024
7859092,1300000,Julio_2024
7859092,1300000,Julio_2024
7859095,2300000,Julio_2024
7859098,4000000,Julio_2024
7859112,2000000,Julio_2024
7859117,2000000,Julio_2024
7859118,1000000,Julio_2024
7859131,2000000,Julio_2024
7859132,2500000,Julio_2024
7859134,1000000,Julio_2024
7859135,1500000,Julio_2024
7859143,1400000,Julio_2024
7859143,1300000,Julio_2024
7859144,1300000,Julio_2024
7859146,600000,Julio_2024
7859149,1300000,Julio_2024
7859151,600000,Julio_2024
7859163,1300000,Julio_2024
7859168,1300000,Julio_2024
7859169,1300000,Julio_2024
7859170,600000,Julio_2024
7859173,1300000,Julio_2024
7859174,1400000,Julio_2024
7859174,1400000,Julio_2024
7859175,1300000,Julio_2024
7859176,1300000,Julio_2024
7859182,1300000,Julio_2024
7859183,1300000,Julio_2024
7859183,1000000,Julio_2024
7859184,1000000,Julio_2024
7859185,1300000,Julio_2024
7859186,500000,Julio_2024
7859187,300000,Julio_2024
7859194,1300000,Julio_2024
7859195,1300000,Julio_2024
7859197,1300000,Julio_2024
7859198,1300000,Julio_2024
7859204,1300000,Julio_2024
7859204,4000000,Julio_2024
7859209,1300000,Julio_2024
7859210,2000000,Julio_2024
7859213,1300000,Julio_2024
7859217,1300000,Julio_2024
7859217,1300000,Julio_2024
7859217,1300000,Julio_2024
7859218,1300000,Julio_2024
7859220,1300000,Julio_2024
7859221,1300000,Julio_2024
7859222,1500000,Julio_2024
7859228,1300000,Julio_2024
7859252,1300000,Julio_2024
7859262,3000000,Julio_2024
7859272,2000000,Julio_2024
7859278,1300000,Julio_2024
7859279,1300000,Julio_2024
7859282,1700000,Julio_2024
7859301,1300000,Julio_2024
7859302,2500000,Julio_2024
7859303,2000000,Julio_2024
7859304,1300000,Julio_2024
7859305,1300000,Julio_2024
7859305,1300000,Julio_2024
7859306,1300000,Julio_2024
7859308,1300000,Julio_2024
7859312,1000000,Julio_2024
7859314,1200000,Julio_2024
7859317,1000000,Julio_2024
7859318,1500000,Julio_2024
7859318,1400000,Julio_2024
7859320,99,Julio_2024
7859321,2600000,Julio_2024
7859330,99,Julio_2024
7859336,99,Julio_2024
7859336,99,Julio_2024
7859337,1300000,Julio_2024
7859340,1300000,Julio_2024
7859343,1300000,Julio_2024
7859345,1000000,Julio_2024
7859350,1300000,Julio_2024
7859353,1300000,Julio_2024
7859356,800000,Julio_2024
7859358,99,Julio_2024
7859363,1300000,Julio_2024
7859370,600000,Julio_2024
7859380,1500000,Julio_2024
7859388,1300000,Julio_2024
7859389,1300000,Julio_2024
7859391,1300000,Julio_2024
7859393,1300000,Julio_2024
7859397,1500000,Julio_2024
7859398,1300000,Julio_2024
7859399,1200000,Julio_2024
7859402,1300000,Julio_2024
7859408,1200000,Julio_2024
7859410,99,Julio_2024
7859411,900000,Julio_2024
7859414,2000000,Julio_2024
7859415,1300000,Julio_2024
7859419,1300000,Julio_2024
7859423,1300000,Julio_2024
7859424,1300000,Julio_2024
7859426,1300000,Julio_2024
7859428,1300000,Julio_2024
7859429,1300000,Julio_2024
7859431,800000,Julio_2024
7859435,1300000,Julio_2024
7859440,1300000,Julio_2024
7859441,1300000,Julio_2024
7859441,1300000,Julio_2024
7859442,1000000,Julio_2024
