DIRECTORIO,P6500,mes
7858606,840000,Julio_2024
7858607,1800000,Julio_2024
7858609,980000,Julio_2024
7858612,1300000,Julio_2024
7858615,300000,Julio_2024
7858620,3900000,Julio_2024
7858624,300000,Julio_2024
7858630,320000,Julio_2024
7858631,1500000,Julio_2024
7858631,1500000,Julio_2024
7858642,200000,Julio_2024
7858645,560000,Julio_2024
7858645,360000,Julio_2024
7858647,420000,Julio_2024
7858649,1000000,Julio_2024
7858650,80000,Julio_2024
7858651,900000,Julio_2024
7858654,1300000,Julio_2024
7858655,500000,Julio_2024
7858658,130000,Julio_2024
7858661,3000000,Julio_2024
7858670,300000,Julio_2024
7858673,600000,Julio_2024
7858674,800000,Julio_2024
7858678,400000,Julio_2024
7858680,1800000,Julio_2024
7858683,800000,Julio_2024
7858683,600000,Julio_2024
7858685,1000000,Julio_2024
7858691,3500000,Julio_2024
7858696,1400000,Julio_2024
7858699,2000000,Julio_2024
7858700,1500000,Julio_2024
7858701,600000,Julio_2024
7858702,1000000,Julio_2024
7858703,800000,Julio_2024
7858705,1000000,Julio_2024
7858710,300000,Julio_2024
7858711,1000000,Julio_2024
7858711,1000000,Julio_2024
7858711,840000,Julio_2024
7858712,6300000,Julio_2024
7858713,1400000,Julio_2024
7858713,1000000,Julio_2024
7858724,640000,Julio_2024
7858724,880000,Julio_2024
7858724,960000,Julio_2024
7858724,1300000,Julio_2024
7858725,800000,Julio_2024
7858725,480000,Julio_2024
7858726,1000000,Julio_2024
7858730,1400000,Julio_2024
7858730,600000,Julio_2024
7858742,1000000,Julio_2024
7858742,1500000,Julio_2024
7858747,3900000,Julio_2024
7858749,450000,Julio_2024
7858749,1462000,Julio_2024
7858752,1900000,Julio_2024
7858753,640000,Julio_2024
7858755,1400000,Julio_2024
7858755,1300000,Julio_2024
7858757,1300000,Julio_2024
7858757,1300000,Julio_2024
7858757,1300000,Julio_2024
7858759,1300000,Julio_2024
7858759,1300000,Julio_2024
7858761,720000,Julio_2024
7858762,4000000,Julio_2024
7858762,5000000,Julio_2024
7858763,1300000,Julio_2024
7858763,1300000,Julio_2024
7858764,1300000,Julio_2024
7858764,600000,Julio_2024
7858768,1300000,Julio_2024
7858771,1300000,Julio_2024
7858771,1700000,Julio_2024
7858773,1300000,Julio_2024
7858773,1300000,Julio_2024
7858774,1300000,Julio_2024
7858774,1300000,Julio_2024
7858775,1550000,Julio_2024
7858775,1300000,Julio_2024
7858775,1300000,Julio_2024
7858775,300000,Julio_2024
7858776,2100000,Julio_2024
7858777,1300000,Julio_2024
7858779,2320000,Julio_2024
7858779,1350000,Julio_2024
7858779,1300000,Julio_2024
7858780,1300000,Julio_2024
7858782,1800000,Julio_2024
7858783,6200000,Julio_2024
7858783,4500000,Julio_2024
7858784,1500000,Julio_2024
7858784,1400000,Julio_2024
7858784,1300000,Julio_2024
7858785,1800000,Julio_2024
7858787,2600000,Julio_2024
7858789,1300000,Julio_2024
7858790,1360000,Julio_2024
7858791,1400000,Julio_2024
7858792,1500000,Julio_2024
7858792,1300000,Julio_2024
7858792,1300000,Julio_2024
7858793,1400000,Julio_2024
7858793,2100000,Julio_2024
7858794,1560000,Julio_2024
7858795,1700000,Julio_2024
7858795,3000000,Julio_2024
7858796,1400000,Julio_2024
7858801,1500000,Julio_2024
7858804,5200000,Julio_2024
7858805,2900000,Julio_2024
7858805,3800000,Julio_2024
7858807,1900000,Julio_2024
7858813,1300000,Julio_2024
7858814,1300000,Julio_2024
7858814,1900000,Julio_2024
7858815,1462000,Julio_2024
7858819,5200000,Julio_2024
7858819,1500000,Julio_2024
7858820,1300000,Julio_2024
7858823,1462000,Julio_2024
