DIRECTORIO,P6800,mes
7858811,40,Julio_2024
7858812,72,Julio_2024
7858813,60,Julio_2024
7858814,47,Julio_2024
7858814,47,Julio_2024
7858815,47,Julio_2024
7858818,30,Julio_2024
7858819,47,Julio_2024
7858819,47,Julio_2024
7858820,60,Julio_2024
7858820,48,Julio_2024
7858823,48,Julio_2024
7858823,40,Julio_2024
7858823,48,Julio_2024
7858824,48,Julio_2024
7858824,48,Julio_2024
7858825,60,Julio_2024
7858826,78,Julio_2024
7858827,48,Julio_2024
7858827,48,Julio_2024
7858828,60,Julio_2024
7858828,40,Julio_2024
7858829,47,Julio_2024
7858830,47,Julio_2024
7858831,20,Julio_2024
7858831,42,Julio_2024
7858832,47,Julio_2024
7858832,50,Julio_2024
7858834,48,Julio_2024
7858834,35,Julio_2024
7858834,47,Julio_2024
7858836,48,Julio_2024
7858838,40,Julio_2024
7858838,47,Julio_2024
7858839,47,Julio_2024
7858839,47,Julio_2024
7858839,47,Julio_2024
7858840,47,Julio_2024
7858841,47,Julio_2024
7858842,48,Julio_2024
7858843,48,Julio_2024
7858849,47,Julio_2024
7858850,50,Julio_2024
7858850,18,Julio_2024
7858850,40,Julio_2024
7858851,6,Julio_2024
7858852,60,Julio_2024
7858852,32,Julio_2024
7858853,47,Julio_2024
7858853,47,Julio_2024
7858856,30,Julio_2024
7858857,45,Julio_2024
7858858,30,Julio_2024
7858858,40,Julio_2024
7858859,18,Julio_2024
7858859,30,Julio_2024
7858860,40,Julio_2024
7858860,36,Julio_2024
7858861,47,Julio_2024
7858865,47,Julio_2024
7858865,20,Julio_2024
7858866,47,Julio_2024
7858867,60,Julio_2024
7858868,50,Julio_2024
7858869,47,Julio_2024
7858869,47,Julio_2024
7858870,48,Julio_2024
7858871,48,Julio_2024
7858872,47,Julio_2024
7858874,48,Julio_2024
7858874,48,Julio_2024
7858876,48,Julio_2024
7858878,48,Julio_2024
7858878,48,Julio_2024
7858878,48,Julio_2024
7858879,60,Julio_2024
7858879,48,Julio_2024
7858880,47,Julio_2024
7858881,40,Julio_2024
7858882,48,Julio_2024
7858883,47,Julio_2024
7858883,60,Julio_2024
7858884,40,Julio_2024
7858885,15,Julio_2024
7858885,40,Julio_2024
7858886,48,Julio_2024
7858887,48,Julio_2024
7858891,30,Julio_2024
7858893,47,Julio_2024
7858893,52,Julio_2024
7858898,40,Julio_2024
7858900,48,Julio_2024
7858902,40,Julio_2024
7858903,47,Julio_2024
7858904,47,Julio_2024
7858904,47,Julio_2024
7858905,47,Julio_2024
7858906,60,Julio_2024
7858906,47,Julio_2024
7858906,47,Julio_2024
7858906,21,Julio_2024
7858908,48,Julio_2024
7858909,54,Julio_2024
7858909,55,Julio_2024
7858911,25,Julio_2024
7858912,40,Julio_2024
7858912,48,Julio_2024
7858913,48,Julio_2024
7858918,48,Julio_2024
7858918,50,Julio_2024
7858919,40,Julio_2024
7858919,20,Julio_2024
7858919,48,Julio_2024
7858921,30,Julio_2024
7858923,48,Julio_2024
7858923,40,Julio_2024
7858924,40,Julio_2024
7858925,8,Julio_2024
7858925,8,Julio_2024
7858925,48,Julio_2024
7858926,47,Julio_2024
7858928,48,Julio_2024
7858928,48,Julio_2024
7858929,48,Julio_2024
7858930,10,Julio_2024
7858930,47,Julio_2024
7858931,48,Julio_2024
7858931,48,Julio_2024
7858932,47,Julio_2024
7858932,48,Julio_2024
7858933,48,Julio_2024
7858933,48,Julio_2024
7858935,47,Julio_2024
7858936,16,Julio_2024
7858937,47,Julio_2024
7858938,47,Julio_2024
7858938,48,Julio_2024
7858939,48,Julio_2024
7858939,40,Julio_2024
7858939,50,Julio_2024
7858940,50,Julio_2024
7858940,50,Julio_2024
7858942,47,Julio_2024
7858942,50,Julio_2024
7858943,45,Julio_2024
7858943,47,Julio_2024
7858944,47,Julio_2024
7858949,56,Julio_2024
7858950,47,Julio_2024
7858950,47,Julio_2024
7858953,43,Julio_2024
7858953,40,Julio_2024
7858953,48,Julio_2024
7858954,40,Julio_2024
7858955,48,Julio_2024
7858956,50,Julio_2024
7858956,54,Julio_2024
7858956,30,Julio_2024
7858957,60,Julio_2024
7858958,60,Julio_2024
7858959,47,Julio_2024
7858959,60,Julio_2024
7858961,48,Julio_2024
7858961,48,Julio_2024
7858962,24,Julio_2024
7858962,47,Julio_2024
7858963,43,Julio_2024
7858963,40,Julio_2024
7858964,47,Julio_2024
7858964,45,Julio_2024
7858965,47,Julio_2024
7858965,60,Julio_2024
7858965,47,Julio_2024
7858966,47,Julio_2024
7858967,12,Julio_2024
7858968,47,Julio_2024
7858968,72,Julio_2024
7858968,72,Julio_2024
7858969,24,Julio_2024
7858970,48,Julio_2024
7858971,9,Julio_2024
7858972,50,Julio_2024
7858973,40,Julio_2024
7858976,60,Julio_2024
7858979,30,Julio_2024
7858979,30,Julio_2024
7858979,30,Julio_2024
7858979,30,Julio_2024
7858980,48,Julio_2024
7858980,48,Julio_2024
7858980,48,Julio_2024
7858981,48,Julio_2024
7858981,47,Julio_2024
7858981,48,Julio_2024
7858982,40,Julio_2024
7858984,24,Julio_2024
7858985,47,Julio_2024
7858985,6,Julio_2024
7858985,47,Julio_2024
7858985,45,Julio_2024
7858986,35,Julio_2024
7858988,47,Julio_2024
7858988,47,Julio_2024
7858989,47,Julio_2024
7858990,47,Julio_2024
7858990,47,Julio_2024
7858991,48,Julio_2024
7858991,50,Julio_2024
7858992,40,Julio_2024
7858993,47,Julio_2024
7858994,47,Julio_2024
7858997,48,Julio_2024
7859000,40,Julio_2024
7859000,44,Julio_2024
7859001,48,Julio_2024
7859001,47,Julio_2024
7859002,70,Julio_2024
7859002,50,Julio_2024
7859003,48,Julio_2024
7859003,60,Julio_2024
7859003,48,Julio_2024
7859003,60,Julio_2024
7859004,43,Julio_2024
7859004,43,Julio_2024
7859005,47,Julio_2024
7859005,40,Julio_2024
7859006,50,Julio_2024
7859007,48,Julio_2024
7859007,48,Julio_2024
7859007,48,Julio_2024
7859008,50,Julio_2024
7859009,48,Julio_2024
7859009,48,Julio_2024
7859009,48,Julio_2024
7859011,60,Julio_2024
7859012,47,Julio_2024
7859015,40,Julio_2024
7859016,48,Julio_2024
7859016,48,Julio_2024
7859017,40,Julio_2024
7859017,40,Julio_2024
7859017,48,Julio_2024
7859018,40,Julio_2024
7859018,40,Julio_2024
7859020,48,Julio_2024
7859021,54,Julio_2024
7859021,54,Julio_2024
7859022,48,Julio_2024
7859023,40,Julio_2024
7859024,54,Julio_2024
7859026,12,Julio_2024
7859027,47,Julio_2024
7859028,47,Julio_2024
7859028,42,Julio_2024
7859036,47,Julio_2024
7859036,50,Julio_2024
7859037,20,Julio_2024
7859037,40,Julio_2024
7859039,48,Julio_2024
7859039,48,Julio_2024
7859041,48,Julio_2024
7859044,48,Julio_2024
7859045,48,Julio_2024
7859046,48,Julio_2024
7859048,48,Julio_2024
7859048,48,Julio_2024
7859049,47,Julio_2024
7859049,48,Julio_2024
7859053,48,Julio_2024
7859053,48,Julio_2024
7859053,50,Julio_2024
7859054,30,Julio_2024
7859056,47,Julio_2024
7859056,47,Julio_2024
7859057,60,Julio_2024
7859057,47,Julio_2024
7859058,60,Julio_2024
7859059,24,Julio_2024
7859060,42,Julio_2024
7859063,48,Julio_2024
7859064,48,Julio_2024
7859064,48,Julio_2024
7859067,39,Julio_2024
7859068,48,Julio_2024
7859072,48,Julio_2024
7859073,40,Julio_2024
7859074,72,Julio_2024
7859074,47,Julio_2024
7859075,64,Julio_2024
7859075,47,Julio_2024
7859076,47,Julio_2024
7859079,16,Julio_2024
7859080,47,Julio_2024
7859080,40,Julio_2024
7859081,52,Julio_2024
7859085,30,Julio_2024
7859085,48,Julio_2024
7859085,58,Julio_2024
7859085,48,Julio_2024
7859086,48,Julio_2024
7859087,50,Julio_2024
7859087,30,Julio_2024
7859088,40,Julio_2024
7859089,48,Julio_2024
7859091,40,Julio_2024
7859093,4,Julio_2024
7859093,72,Julio_2024
7859095,20,Julio_2024
7859096,21,Julio_2024
7859097,80,Julio_2024
7859097,80,Julio_2024
7859099,48,Julio_2024
7859099,40,Julio_2024
7859099,50,Julio_2024
7859100,48,Julio_2024
7859102,46,Julio_2024
7859104,20,Julio_2024
7859104,45,Julio_2024
7859104,48,Julio_2024
7859106,47,Julio_2024
7859107,48,Julio_2024
7859107,40,Julio_2024
7859108,48,Julio_2024
7859110,47,Julio_2024
7859110,47,Julio_2024
7859111,48,Julio_2024
7859112,48,Julio_2024
7859113,40,Julio_2024
7859113,40,Julio_2024
7859114,50,Julio_2024
7859116,40,Julio_2024
7859116,48,Julio_2024
7859117,48,Julio_2024
7859118,16,Julio_2024
7859119,48,Julio_2024
7859120,60,Julio_2024
7859120,48,Julio_2024
7859120,48,Julio_2024
7859121,20,Julio_2024
7859122,45,Julio_2024
7859122,48,Julio_2024
7859124,48,Julio_2024
7859124,48,Julio_2024
7859127,48,Julio_2024
7859127,60,Julio_2024
7859128,40,Julio_2024
7859129,10,Julio_2024
7859129,18,Julio_2024
7859131,48,Julio_2024
7859131,48,Julio_2024
7859132,40,Julio_2024
7859132,40,Julio_2024
7859134,47,Julio_2024
7859134,42,Julio_2024
7859134,46,Julio_2024
7859134,48,Julio_2024
7859134,56,Julio_2024
7859135,15,Julio_2024
7859135,48,Julio_2024
7859135,56,Julio_2024
7859136,48,Julio_2024
7859136,48,Julio_2024
7859140,72,Julio_2024
7859140,24,Julio_2024
7859140,48,Julio_2024
7859141,50,Julio_2024
7859142,45,Julio_2024
7859143,40,Julio_2024
7859143,40,Julio_2024
7859143,40,Julio_2024
7859144,48,Julio_2024
7859145,54,Julio_2024
7859145,48,Julio_2024
7859146,48,Julio_2024
7859146,50,Julio_2024
7859147,60,Julio_2024
7859147,48,Julio_2024
7859147,4,Julio_2024
7859147,48,Julio_2024
7859148,70,Julio_2024
7859148,48,Julio_2024
7859148,48,Julio_2024
7859149,47,Julio_2024
7859149,48,Julio_2024
7859151,60,Julio_2024
7859151,60,Julio_2024
7859152,48,Julio_2024
7859152,48,Julio_2024
7859152,48,Julio_2024
7859153,30,Julio_2024
7859153,40,Julio_2024
7859154,60,Julio_2024
7859155,48,Julio_2024
7859155,48,Julio_2024
7859155,48,Julio_2024
7859155,48,Julio_2024
7859155,20,Julio_2024
7859155,48,Julio_2024
7859156,24,Julio_2024
7859156,60,Julio_2024
7859157,48,Julio_2024
7859158,48,Julio_2024
7859159,30,Julio_2024
7859159,70,Julio_2024
7859159,48,Julio_2024
7859159,20,Julio_2024
7859159,48,Julio_2024
7859160,36,Julio_2024
7859160,40,Julio_2024
7859160,32,Julio_2024
7859161,70,Julio_2024
7859162,60,Julio_2024
7859164,48,Julio_2024
7859165,96,Julio_2024
7859165,24,Julio_2024
7859166,48,Julio_2024
7859166,48,Julio_2024
7859167,48,Julio_2024
7859167,10,Julio_2024
7859168,60,Julio_2024
7859168,60,Julio_2024
7859168,30,Julio_2024
7859169,48,Julio_2024
7859169,40,Julio_2024
7859170,48,Julio_2024
7859171,18,Julio_2024
7859172,48,Julio_2024
7859173,21,Julio_2024
7859174,48,Julio_2024
7859174,20,Julio_2024
7859175,84,Julio_2024
